id,title,author,date,preview,content,replies,views,category,datetime,id_category,category_name
270,Black Mirror Season 6 - Episode Discussion,TechDystopia,1 week ago,Breaking down the latest season's episodes...,"This season really pushed some boundaries. 'Beyond the Sea' was particularly haunting, and 'Joan Is Awful' felt eerily prescient. The visual effects in 4K HDR are stunning. Which episode hit you the hardest this season?",167,889,3,1 week ago,3,Sci-Fi & Fantasy
271,Ted Lasso's Character Development Over 3 Seasons,BelieveFan,1 week ago,Analyzing how the characters evolved throughout the series...,"The way they developed not just Ted, but the entire ensemble cast over three seasons was masterful. Roy Kent's journey from angry player to emotional growth is particularly well done. Which character arc did you find most satisfying?",145,756,6,1 week ago,6,Documentary & Educational
272,The Sopranos - Best Episodes for First-Time Viewers,BadaBing,1 week ago,Recommending essential episodes for newcomers...,"While the whole series is a masterpiece, some episodes really showcase why this show changed television forever. 'Pine Barrens', 'College', 'Whitecaps' are must-watches. The remastered version looks incredible. What episodes would you recommend to new viewers?",189,967,6,1 week ago,6,Documentary & Educational
273,Severance Season 1 - Theories and Analysis,InnieOutie,1 week ago,Breaking down the mysteries of Lumon Industries...,The attention to detail in this show is incredible. Every rewatch reveals new clues. The stark visual contrast between the innie and outie worlds is stunning in HDR. What theories do you have about the goats? About what Lumon is really doing?,234,1123,3,1 week ago,3,Sci-Fi & Fantasy
274,Only Murders in the Building Season 3,ArconiaPod,1 week ago,Discussing the latest season's mystery...,"The chemistry between the main trio keeps getting better each season. The theater setting this season was perfect, and Meryl Streep was an amazing addition. How do you think this season's mystery compared to the previous two?",156,845,6,1 week ago,6,Documentary & Educational
275,The Good Place - Philosophy in Comedy,HolyForking,1 week ago,How this show made philosophy accessible and fun...,It's amazing how they managed to teach actual philosophical concepts while keeping it hilarious. The character development from season 1 to the finale is incredible. What was your favorite philosophical lesson from the show?,167,878,5,1 week ago,5,Comedy
276,Dark - Most Complex Time Travel Story Ever?,SicMundus,1 week ago,Untangling the intricate plot of Dark...,Just finished my third rewatch and I'm still discovering new connections. The family tree is mind-bending! The HDR really enhances those cave scenes. What details did you notice on your rewatches that you missed the first time?,198,1034,3,1 week ago,3,Sci-Fi & Fantasy
277,Band of Brothers vs The Pacific,WW2Buff,1 week ago,Comparing these two legendary war series...,"Both series are masterpieces in their own right, but they tell very different stories. Band of Brothers feels more cohesive, while The Pacific shows the psychological toll more deeply. The 4K remasters are stunning. Which series resonated more with you?",145,789,6,1 week ago,6,Documentary & Educational
278,Fleabag's Fourth Wall Breaking - Genius or Gimmick?,HotPriest,1 week ago,Analyzing how the show uses its unique narrative device...,"The way the fourth wall breaking evolves throughout the series is brilliant, especially in season 2 with the Hot Priest. It goes from funny asides to deeply emotional moments. How do you think this technique enhanced the storytelling?",167,856,5,1 week ago,5,Comedy
279,Stranger Things Season 4 - Best Season Yet?,ElevenFan,1 week ago,Discussing the latest season and that epic finale...,"Season 4 really raised the bar. The Vecna reveals were incredible, and Eddie's scene in the Upside Down was unforgettable. The extended episodes really helped develop the story. What did you think about the darker tone this season?",223,1156,3,1 week ago,3,Sci-Fi & Fantasy
280,Best Episodes of The Office (US) - Ranked,DunderMifflin,1 week ago,Let's rank the best episodes from all nine seasons...,"After rewatching the complete series on Blu-ray, here's my top 5: 1. Dinner Party 2. Stress Relief 3. Casino Night 4. The Injury 5. Niagara. The deleted scenes on the box set add so much more to these episodes! What are your top episodes and why?",178,945,5,1 week ago,5,Comedy
281,Black Mirror Season 6 - Episode Discussion,TechDystopia,1 week ago,Breaking down the latest season's episodes...,"This season really pushed some boundaries. 'Beyond the Sea' was particularly haunting, and 'Joan Is Awful' felt eerily prescient. The visual effects in 4K HDR are stunning. Which episode hit you the hardest this season?",167,889,3,1 week ago,3,Sci-Fi & Fantasy
282,Ted Lasso's Character Development Over 3 Seasons,BelieveFan,1 week ago,Analyzing how the characters evolved throughout the series...,"The way they developed not just Ted, but the entire ensemble cast over three seasons was masterful. Roy Kent's journey from angry player to emotional growth is particularly well done. Which character arc did you find most satisfying?",145,756,6,1 week ago,6,Documentary & Educational
283,The Sopranos - Best Episodes for First-Time Viewers,BadaBing,1 week ago,Recommending essential episodes for newcomers...,"While the whole series is a masterpiece, some episodes really showcase why this show changed television forever. 'Pine Barrens', 'College', 'Whitecaps' are must-watches. The remastered version looks incredible. What episodes would you recommend to new viewers?",189,967,6,1 week ago,6,Documentary & Educational
284,Severance Season 1 - Theories and Analysis,InnieOutie,1 week ago,Breaking down the mysteries of Lumon Industries...,The attention to detail in this show is incredible. Every rewatch reveals new clues. The stark visual contrast between the innie and outie worlds is stunning in HDR. What theories do you have about the goats? About what Lumon is really doing?,234,1123,3,1 week ago,3,Sci-Fi & Fantasy
285,Only Murders in the Building Season 3,ArconiaPod,1 week ago,Discussing the latest season's mystery...,"The chemistry between the main trio keeps getting better each season. The theater setting this season was perfect, and Meryl Streep was an amazing addition. How do you think this season's mystery compared to the previous two?",156,845,6,1 week ago,6,Documentary & Educational
286,The Good Place - Philosophy in Comedy,HolyForking,1 week ago,How this show made philosophy accessible and fun...,It's amazing how they managed to teach actual philosophical concepts while keeping it hilarious. The character development from season 1 to the finale is incredible. What was your favorite philosophical lesson from the show?,167,878,5,1 week ago,5,Comedy
287,Dark - Most Complex Time Travel Story Ever?,SicMundus,1 week ago,Untangling the intricate plot of Dark...,Just finished my third rewatch and I'm still discovering new connections. The family tree is mind-bending! The HDR really enhances those cave scenes. What details did you notice on your rewatches that you missed the first time?,198,1034,3,1 week ago,3,Sci-Fi & Fantasy
288,Band of Brothers vs The Pacific,WW2Buff,1 week ago,Comparing these two legendary war series...,"Both series are masterpieces in their own right, but they tell very different stories. Band of Brothers feels more cohesive, while The Pacific shows the psychological toll more deeply. The 4K remasters are stunning. Which series resonated more with you?",145,789,6,1 week ago,6,Documentary & Educational
289,Fleabag's Fourth Wall Breaking - Genius or Gimmick?,HotPriest,1 week ago,Analyzing how the show uses its unique narrative device...,"The way the fourth wall breaking evolves throughout the series is brilliant, especially in season 2 with the Hot Priest. It goes from funny asides to deeply emotional moments. How do you think this technique enhanced the storytelling?",167,856,5,1 week ago,5,Comedy
290,Stranger Things Season 4 - Best Season Yet?,ElevenFan,1 week ago,Discussing the latest season and that epic finale...,"Season 4 really raised the bar. The Vecna reveals were incredible, and Eddie's scene in the Upside Down was unforgettable. The extended episodes really helped develop the story. What did you think about the darker tone this season?",223,1156,3,1 week ago,3,Sci-Fi & Fantasy
291,Best Episodes of The Office (US) - Ranked,DunderMifflin,1 week ago,Let's rank the best episodes from all nine seasons...,"After rewatching the complete series on Blu-ray, here's my top 5: 1. Dinner Party 2. Stress Relief 3. Casino Night 4. The Injury 5. Niagara. The deleted scenes on the box set add so much more to these episodes! What are your top episodes and why?",178,945,5,1 week ago,5,Comedy
292,Black Mirror Season 6 - Episode Discussion,TechDystopia,1 week ago,Breaking down the latest season's episodes...,"This season really pushed some boundaries. 'Beyond the Sea' was particularly haunting, and 'Joan Is Awful' felt eerily prescient. The visual effects in 4K HDR are stunning. Which episode hit you the hardest this season?",167,889,3,1 week ago,3,Sci-Fi & Fantasy
293,Ted Lasso's Character Development Over 3 Seasons,BelieveFan,1 week ago,Analyzing how the characters evolved throughout the series...,"The way they developed not just Ted, but the entire ensemble cast over three seasons was masterful. Roy Kent's journey from angry player to emotional growth is particularly well done. Which character arc did you find most satisfying?",145,756,6,1 week ago,6,Documentary & Educational
294,The Sopranos - Best Episodes for First-Time Viewers,BadaBing,1 week ago,Recommending essential episodes for newcomers...,"While the whole series is a masterpiece, some episodes really showcase why this show changed television forever. 'Pine Barrens', 'College', 'Whitecaps' are must-watches. The remastered version looks incredible. What episodes would you recommend to new viewers?",189,967,6,1 week ago,6,Documentary & Educational
295,Severance Season 1 - Theories and Analysis,InnieOutie,1 week ago,Breaking down the mysteries of Lumon Industries...,The attention to detail in this show is incredible. Every rewatch reveals new clues. The stark visual contrast between the innie and outie worlds is stunning in HDR. What theories do you have about the goats? About what Lumon is really doing?,234,1123,3,1 week ago,3,Sci-Fi & Fantasy
296,Only Murders in the Building Season 3,ArconiaPod,1 week ago,Discussing the latest season's mystery...,"The chemistry between the main trio keeps getting better each season. The theater setting this season was perfect, and Meryl Streep was an amazing addition. How do you think this season's mystery compared to the previous two?",156,845,6,1 week ago,6,Documentary & Educational
297,The Good Place - Philosophy in Comedy,HolyForking,1 week ago,How this show made philosophy accessible and fun...,It's amazing how they managed to teach actual philosophical concepts while keeping it hilarious. The character development from season 1 to the finale is incredible. What was your favorite philosophical lesson from the show?,167,878,5,1 week ago,5,Comedy
298,Dark - Most Complex Time Travel Story Ever?,SicMundus,1 week ago,Untangling the intricate plot of Dark...,Just finished my third rewatch and I'm still discovering new connections. The family tree is mind-bending! The HDR really enhances those cave scenes. What details did you notice on your rewatches that you missed the first time?,198,1034,3,1 week ago,3,Sci-Fi & Fantasy
299,Band of Brothers vs The Pacific,WW2Buff,1 week ago,Comparing these two legendary war series...,"Both series are masterpieces in their own right, but they tell very different stories. Band of Brothers feels more cohesive, while The Pacific shows the psychological toll more deeply. The 4K remasters are stunning. Which series resonated more with you?",145,789,6,1 week ago,6,Documentary & Educational
300,Fleabag's Fourth Wall Breaking - Genius or Gimmick?,HotPriest,1 week ago,Analyzing how the show uses its unique narrative device...,"The way the fourth wall breaking evolves throughout the series is brilliant, especially in season 2 with the Hot Priest. It goes from funny asides to deeply emotional moments. How do you think this technique enhanced the storytelling?",167,856,5,1 week ago,5,Comedy
301,Stranger Things Season 4 - Best Season Yet?,ElevenFan,1 week ago,Discussing the latest season and that epic finale...,"Season 4 really raised the bar. The Vecna reveals were incredible, and Eddie's scene in the Upside Down was unforgettable. The extended episodes really helped develop the story. What did you think about the darker tone this season?",223,1156,3,1 week ago,3,Sci-Fi & Fantasy
302,Best Episodes of The Office (US) - Ranked,DunderMifflin,1 week ago,Let's rank the best episodes from all nine seasons...,"After rewatching the complete series on Blu-ray, here's my top 5: 1. Dinner Party 2. Stress Relief 3. Casino Night 4. The Injury 5. Niagara. The deleted scenes on the box set add so much more to these episodes! What are your top episodes and why?",178,945,5,1 week ago,5,Comedy
303,Black Mirror Season 6 - Episode Discussion,TechDystopia,1 week ago,Breaking down the latest season's episodes...,"This season really pushed some boundaries. 'Beyond the Sea' was particularly haunting, and 'Joan Is Awful' felt eerily prescient. The visual effects in 4K HDR are stunning. Which episode hit you the hardest this season?",167,889,3,1 week ago,3,Sci-Fi & Fantasy
304,Ted Lasso's Character Development Over 3 Seasons,BelieveFan,1 week ago,Analyzing how the characters evolved throughout the series...,"The way they developed not just Ted, but the entire ensemble cast over three seasons was masterful. Roy Kent's journey from angry player to emotional growth is particularly well done. Which character arc did you find most satisfying?",145,756,6,1 week ago,6,Documentary & Educational
305,The Sopranos - Best Episodes for First-Time Viewers,BadaBing,1 week ago,Recommending essential episodes for newcomers...,"While the whole series is a masterpiece, some episodes really showcase why this show changed television forever. 'Pine Barrens', 'College', 'Whitecaps' are must-watches. The remastered version looks incredible. What episodes would you recommend to new viewers?",189,967,6,1 week ago,6,Documentary & Educational
306,Severance Season 1 - Theories and Analysis,InnieOutie,1 week ago,Breaking down the mysteries of Lumon Industries...,The attention to detail in this show is incredible. Every rewatch reveals new clues. The stark visual contrast between the innie and outie worlds is stunning in HDR. What theories do you have about the goats? About what Lumon is really doing?,234,1123,3,1 week ago,3,Sci-Fi & Fantasy
307,Only Murders in the Building Season 3,ArconiaPod,1 week ago,Discussing the latest season's mystery...,"The chemistry between the main trio keeps getting better each season. The theater setting this season was perfect, and Meryl Streep was an amazing addition. How do you think this season's mystery compared to the previous two?",156,845,6,1 week ago,6,Documentary & Educational
308,The Good Place - Philosophy in Comedy,HolyForking,1 week ago,How this show made philosophy accessible and fun...,It's amazing how they managed to teach actual philosophical concepts while keeping it hilarious. The character development from season 1 to the finale is incredible. What was your favorite philosophical lesson from the show?,167,878,5,1 week ago,5,Comedy
309,Dark - Most Complex Time Travel Story Ever?,SicMundus,1 week ago,Untangling the intricate plot of Dark...,Just finished my third rewatch and I'm still discovering new connections. The family tree is mind-bending! The HDR really enhances those cave scenes. What details did you notice on your rewatches that you missed the first time?,198,1034,3,1 week ago,3,Sci-Fi & Fantasy
310,Band of Brothers vs The Pacific,WW2Buff,1 week ago,Comparing these two legendary war series...,"Both series are masterpieces in their own right, but they tell very different stories. Band of Brothers feels more cohesive, while The Pacific shows the psychological toll more deeply. The 4K remasters are stunning. Which series resonated more with you?",145,789,6,1 week ago,6,Documentary & Educational
311,Fleabag's Fourth Wall Breaking - Genius or Gimmick?,HotPriest,1 week ago,Analyzing how the show uses its unique narrative device...,"The way the fourth wall breaking evolves throughout the series is brilliant, especially in season 2 with the Hot Priest. It goes from funny asides to deeply emotional moments. How do you think this technique enhanced the storytelling?",167,856,5,1 week ago,5,Comedy
312,Stranger Things Season 4 - Best Season Yet?,ElevenFan,1 week ago,Discussing the latest season and that epic finale...,"Season 4 really raised the bar. The Vecna reveals were incredible, and Eddie's scene in the Upside Down was unforgettable. The extended episodes really helped develop the story. What did you think about the darker tone this season?",223,1156,3,1 week ago,3,Sci-Fi & Fantasy
313,Best Episodes of The Office (US) - Ranked,DunderMifflin,1 week ago,Let's rank the best episodes from all nine seasons...,"After rewatching the complete series on Blu-ray, here's my top 5: 1. Dinner Party 2. Stress Relief 3. Casino Night 4. The Injury 5. Niagara. The deleted scenes on the box set add so much more to these episodes! What are your top episodes and why?",178,945,5,1 week ago,5,Comedy
314,Black Mirror Season 6 - Episode Discussion,TechDystopia,1 week ago,Breaking down the latest season's episodes...,"This season really pushed some boundaries. 'Beyond the Sea' was particularly haunting, and 'Joan Is Awful' felt eerily prescient. The visual effects in 4K HDR are stunning. Which episode hit you the hardest this season?",167,889,3,1 week ago,3,Sci-Fi & Fantasy
315,Ted Lasso's Character Development Over 3 Seasons,BelieveFan,1 week ago,Analyzing how the characters evolved throughout the series...,"The way they developed not just Ted, but the entire ensemble cast over three seasons was masterful. Roy Kent's journey from angry player to emotional growth is particularly well done. Which character arc did you find most satisfying?",145,756,6,1 week ago,6,Documentary & Educational
316,The Sopranos - Best Episodes for First-Time Viewers,BadaBing,1 week ago,Recommending essential episodes for newcomers...,"While the whole series is a masterpiece, some episodes really showcase why this show changed television forever. 'Pine Barrens', 'College', 'Whitecaps' are must-watches. The remastered version looks incredible. What episodes would you recommend to new viewers?",189,967,6,1 week ago,6,Documentary & Educational
317,Severance Season 1 - Theories and Analysis,InnieOutie,1 week ago,Breaking down the mysteries of Lumon Industries...,The attention to detail in this show is incredible. Every rewatch reveals new clues. The stark visual contrast between the innie and outie worlds is stunning in HDR. What theories do you have about the goats? About what Lumon is really doing?,234,1123,3,1 week ago,3,Sci-Fi & Fantasy
318,Only Murders in the Building Season 3,ArconiaPod,1 week ago,Discussing the latest season's mystery...,"The chemistry between the main trio keeps getting better each season. The theater setting this season was perfect, and Meryl Streep was an amazing addition. How do you think this season's mystery compared to the previous two?",156,845,6,1 week ago,6,Documentary & Educational
319,The Good Place - Philosophy in Comedy,HolyForking,1 week ago,How this show made philosophy accessible and fun...,It's amazing how they managed to teach actual philosophical concepts while keeping it hilarious. The character development from season 1 to the finale is incredible. What was your favorite philosophical lesson from the show?,167,878,5,1 week ago,5,Comedy
320,Dark - Most Complex Time Travel Story Ever?,SicMundus,1 week ago,Untangling the intricate plot of Dark...,Just finished my third rewatch and I'm still discovering new connections. The family tree is mind-bending! The HDR really enhances those cave scenes. What details did you notice on your rewatches that you missed the first time?,198,1034,3,1 week ago,3,Sci-Fi & Fantasy
321,Band of Brothers vs The Pacific,WW2Buff,1 week ago,Comparing these two legendary war series...,"Both series are masterpieces in their own right, but they tell very different stories. Band of Brothers feels more cohesive, while The Pacific shows the psychological toll more deeply. The 4K remasters are stunning. Which series resonated more with you?",145,789,6,1 week ago,6,Documentary & Educational
322,Fleabag's Fourth Wall Breaking - Genius or Gimmick?,HotPriest,1 week ago,Analyzing how the show uses its unique narrative device...,"The way the fourth wall breaking evolves throughout the series is brilliant, especially in season 2 with the Hot Priest. It goes from funny asides to deeply emotional moments. How do you think this technique enhanced the storytelling?",167,856,5,1 week ago,5,Comedy
323,Stranger Things Season 4 - Best Season Yet?,ElevenFan,1 week ago,Discussing the latest season and that epic finale...,"Season 4 really raised the bar. The Vecna reveals were incredible, and Eddie's scene in the Upside Down was unforgettable. The extended episodes really helped develop the story. What did you think about the darker tone this season?",223,1156,3,1 week ago,3,Sci-Fi & Fantasy
324,Best Episodes of The Office (US) - Ranked,DunderMifflin,1 week ago,Let's rank the best episodes from all nine seasons...,"After rewatching the complete series on Blu-ray, here's my top 5: 1. Dinner Party 2. Stress Relief 3. Casino Night 4. The Injury 5. Niagara. The deleted scenes on the box set add so much more to these episodes! What are your top episodes and why?",178,945,5,1 week ago,5,Comedy
325,Black Mirror Season 6 - Episode Discussion,TechDystopia,1 week ago,Breaking down the latest season's episodes...,"This season really pushed some boundaries. 'Beyond the Sea' was particularly haunting, and 'Joan Is Awful' felt eerily prescient. The visual effects in 4K HDR are stunning. Which episode hit you the hardest this season?",167,889,3,1 week ago,3,Sci-Fi & Fantasy
326,Rare TV Miniseries Collections,MiniseriesFan,1 week ago,Collecting rare and out-of-print TV miniseries releases...,Just found a complete set of the original BBC Edge of Darkness on DVD! Also managed to get the rare Pride and Prejudice (1995) box set. What are some of your favorite TV miniseries releases? Any rare ones you're hunting for?,56,378,6,1 week ago,6,Documentary & Educational
327,Classic Horror Collection Essentials,HorrorClassics,1 week ago,Building a classic horror collection - what are the must-have releases?,"Working on building my classic horror collection. So far I have Universal's Monster Collection, Hammer's Horror sets from Scream Factory, and various Criterion releases. What other releases would you consider essential for a classic horror collection? Any particular versions to seek out or avoid?",78,456,4,1 week ago,4,Horror & Thriller
328,Soundtrack CD Collecting,SoundtrackFan,1 week ago,Share your movie soundtrack collection and rare finds...,"Recently found some rare soundtrack CDs - the complete Blade Runner by Vangelis (including unused cues), and the original pressing of Morricone's The Thing. What are your favorite soundtrack releases? Any rare ones you're hunting for?",78,489,6,1 week ago,6,Documentary & Educational
329,Best Movie Boxset Artwork,BoxsetArt,1 week ago,Showcasing the most beautiful box set designs and artwork...,The artwork on the Second Sight Dawn of the Dead 4K set is stunning! Also love Arrow's Gamera collection and Criterion's Bergman Cinema box. What are some of your favorite box set designs? Which labels consistently deliver great artwork?,67,445,6,1 week ago,6,Documentary & Educational
330,Rare TV Miniseries Collections,MiniseriesFan,1 week ago,Collecting rare and out-of-print TV miniseries releases...,Just found a complete set of the original BBC Edge of Darkness on DVD! Also managed to get the rare Pride and Prejudice (1995) box set. What are some of your favorite TV miniseries releases? Any rare ones you're hunting for?,56,378,6,1 week ago,6,Documentary & Educational
331,Classic Horror Collection Essentials,HorrorClassics,1 week ago,Building a classic horror collection - what are the must-have releases?,"Working on building my classic horror collection. So far I have Universal's Monster Collection, Hammer's Horror sets from Scream Factory, and various Criterion releases. What other releases would you consider essential for a classic horror collection? Any particular versions to seek out or avoid?",78,456,4,1 week ago,4,Horror & Thriller
332,Soundtrack CD Collecting,SoundtrackFan,1 week ago,Share your movie soundtrack collection and rare finds...,"Recently found some rare soundtrack CDs - the complete Blade Runner by Vangelis (including unused cues), and the original pressing of Morricone's The Thing. What are your favorite soundtrack releases? Any rare ones you're hunting for?",78,489,6,1 week ago,6,Documentary & Educational
333,Best Movie Boxset Artwork,BoxsetArt,1 week ago,Showcasing the most beautiful box set designs and artwork...,The artwork on the Second Sight Dawn of the Dead 4K set is stunning! Also love Arrow's Gamera collection and Criterion's Bergman Cinema box. What are some of your favorite box set designs? Which labels consistently deliver great artwork?,67,445,6,1 week ago,6,Documentary & Educational
334,Rare TV Miniseries Collections,MiniseriesFan,1 week ago,Collecting rare and out-of-print TV miniseries releases...,Just found a complete set of the original BBC Edge of Darkness on DVD! Also managed to get the rare Pride and Prejudice (1995) box set. What are some of your favorite TV miniseries releases? Any rare ones you're hunting for?,56,378,6,1 week ago,6,Documentary & Educational
335,Classic Horror Collection Essentials,HorrorClassics,1 week ago,Building a classic horror collection - what are the must-have releases?,"Working on building my classic horror collection. So far I have Universal's Monster Collection, Hammer's Horror sets from Scream Factory, and various Criterion releases. What other releases would you consider essential for a classic horror collection? Any particular versions to seek out or avoid?",78,456,4,1 week ago,4,Horror & Thriller
336,Soundtrack CD Collecting,SoundtrackFan,1 week ago,Share your movie soundtrack collection and rare finds...,"Recently found some rare soundtrack CDs - the complete Blade Runner by Vangelis (including unused cues), and the original pressing of Morricone's The Thing. What are your favorite soundtrack releases? Any rare ones you're hunting for?",78,489,6,1 week ago,6,Documentary & Educational
337,Best Movie Boxset Artwork,BoxsetArt,1 week ago,Showcasing the most beautiful box set designs and artwork...,The artwork on the Second Sight Dawn of the Dead 4K set is stunning! Also love Arrow's Gamera collection and Criterion's Bergman Cinema box. What are some of your favorite box set designs? Which labels consistently deliver great artwork?,67,445,6,1 week ago,6,Documentary & Educational
338,Rare TV Miniseries Collections,MiniseriesFan,1 week ago,Collecting rare and out-of-print TV miniseries releases...,Just found a complete set of the original BBC Edge of Darkness on DVD! Also managed to get the rare Pride and Prejudice (1995) box set. What are some of your favorite TV miniseries releases? Any rare ones you're hunting for?,56,378,6,1 week ago,6,Documentary & Educational
339,Classic Horror Collection Essentials,HorrorClassics,1 week ago,Building a classic horror collection - what are the must-have releases?,"Working on building my classic horror collection. So far I have Universal's Monster Collection, Hammer's Horror sets from Scream Factory, and various Criterion releases. What other releases would you consider essential for a classic horror collection? Any particular versions to seek out or avoid?",78,456,4,1 week ago,4,Horror & Thriller
340,Soundtrack CD Collecting,SoundtrackFan,1 week ago,Share your movie soundtrack collection and rare finds...,"Recently found some rare soundtrack CDs - the complete Blade Runner by Vangelis (including unused cues), and the original pressing of Morricone's The Thing. What are your favorite soundtrack releases? Any rare ones you're hunting for?",78,489,6,1 week ago,6,Documentary & Educational
341,Best Movie Boxset Artwork,BoxsetArt,1 week ago,Showcasing the most beautiful box set designs and artwork...,The artwork on the Second Sight Dawn of the Dead 4K set is stunning! Also love Arrow's Gamera collection and Criterion's Bergman Cinema box. What are some of your favorite box set designs? Which labels consistently deliver great artwork?,67,445,6,1 week ago,6,Documentary & Educational
342,Rare TV Miniseries Collections,MiniseriesFan,1 week ago,Collecting rare and out-of-print TV miniseries releases...,Just found a complete set of the original BBC Edge of Darkness on DVD! Also managed to get the rare Pride and Prejudice (1995) box set. What are some of your favorite TV miniseries releases? Any rare ones you're hunting for?,56,378,6,1 week ago,6,Documentary & Educational
343,Classic Horror Collection Essentials,HorrorClassics,1 week ago,Building a classic horror collection - what are the must-have releases?,"Working on building my classic horror collection. So far I have Universal's Monster Collection, Hammer's Horror sets from Scream Factory, and various Criterion releases. What other releases would you consider essential for a classic horror collection? Any particular versions to seek out or avoid?",78,456,4,1 week ago,4,Horror & Thriller
344,Soundtrack CD Collecting,SoundtrackFan,1 week ago,Share your movie soundtrack collection and rare finds...,"Recently found some rare soundtrack CDs - the complete Blade Runner by Vangelis (including unused cues), and the original pressing of Morricone's The Thing. What are your favorite soundtrack releases? Any rare ones you're hunting for?",78,489,6,1 week ago,6,Documentary & Educational
345,Best Movie Boxset Artwork,BoxsetArt,1 week ago,Showcasing the most beautiful box set designs and artwork...,The artwork on the Second Sight Dawn of the Dead 4K set is stunning! Also love Arrow's Gamera collection and Criterion's Bergman Cinema box. What are some of your favorite box set designs? Which labels consistently deliver great artwork?,67,445,6,1 week ago,6,Documentary & Educational
346,Rare TV Miniseries Collections,MiniseriesFan,1 week ago,Collecting rare and out-of-print TV miniseries releases...,Just found a complete set of the original BBC Edge of Darkness on DVD! Also managed to get the rare Pride and Prejudice (1995) box set. What are some of your favorite TV miniseries releases? Any rare ones you're hunting for?,56,378,6,1 week ago,6,Documentary & Educational
347,Classic Horror Collection Essentials,HorrorClassics,1 week ago,Building a classic horror collection - what are the must-have releases?,"Working on building my classic horror collection. So far I have Universal's Monster Collection, Hammer's Horror sets from Scream Factory, and various Criterion releases. What other releases would you consider essential for a classic horror collection? Any particular versions to seek out or avoid?",78,456,4,1 week ago,4,Horror & Thriller
348,Soundtrack CD Collecting,SoundtrackFan,1 week ago,Share your movie soundtrack collection and rare finds...,"Recently found some rare soundtrack CDs - the complete Blade Runner by Vangelis (including unused cues), and the original pressing of Morricone's The Thing. What are your favorite soundtrack releases? Any rare ones you're hunting for?",78,489,6,1 week ago,6,Documentary & Educational
349,Best Movie Boxset Artwork,BoxsetArt,1 week ago,Showcasing the most beautiful box set designs and artwork...,The artwork on the Second Sight Dawn of the Dead 4K set is stunning! Also love Arrow's Gamera collection and Criterion's Bergman Cinema box. What are some of your favorite box set designs? Which labels consistently deliver great artwork?,67,445,6,1 week ago,6,Documentary & Educational
350,Rare TV Miniseries Collections,MiniseriesFan,1 week ago,Collecting rare and out-of-print TV miniseries releases...,Just found a complete set of the original BBC Edge of Darkness on DVD! Also managed to get the rare Pride and Prejudice (1995) box set. What are some of your favorite TV miniseries releases? Any rare ones you're hunting for?,56,378,6,1 week ago,6,Documentary & Educational
351,Classic Horror Collection Essentials,HorrorClassics,1 week ago,Building a classic horror collection - what are the must-have releases?,"Working on building my classic horror collection. So far I have Universal's Monster Collection, Hammer's Horror sets from Scream Factory, and various Criterion releases. What other releases would you consider essential for a classic horror collection? Any particular versions to seek out or avoid?",78,456,4,1 week ago,4,Horror & Thriller
352,Soundtrack CD Collecting,SoundtrackFan,1 week ago,Share your movie soundtrack collection and rare finds...,"Recently found some rare soundtrack CDs - the complete Blade Runner by Vangelis (including unused cues), and the original pressing of Morricone's The Thing. What are your favorite soundtrack releases? Any rare ones you're hunting for?",78,489,6,1 week ago,6,Documentary & Educational
353,Best Movie Boxset Artwork,BoxsetArt,1 week ago,Showcasing the most beautiful box set designs and artwork...,The artwork on the Second Sight Dawn of the Dead 4K set is stunning! Also love Arrow's Gamera collection and Criterion's Bergman Cinema box. What are some of your favorite box set designs? Which labels consistently deliver great artwork?,67,445,6,1 week ago,6,Documentary & Educational
354,Rare TV Miniseries Collections,MiniseriesFan,1 week ago,Collecting rare and out-of-print TV miniseries releases...,Just found a complete set of the original BBC Edge of Darkness on DVD! Also managed to get the rare Pride and Prejudice (1995) box set. What are some of your favorite TV miniseries releases? Any rare ones you're hunting for?,56,378,6,1 week ago,6,Documentary & Educational
355,Classic Horror Collection Essentials,HorrorClassics,1 week ago,Building a classic horror collection - what are the must-have releases?,"Working on building my classic horror collection. So far I have Universal's Monster Collection, Hammer's Horror sets from Scream Factory, and various Criterion releases. What other releases would you consider essential for a classic horror collection? Any particular versions to seek out or avoid?",78,456,4,1 week ago,4,Horror & Thriller
356,Soundtrack CD Collecting,SoundtrackFan,1 week ago,Share your movie soundtrack collection and rare finds...,"Recently found some rare soundtrack CDs - the complete Blade Runner by Vangelis (including unused cues), and the original pressing of Morricone's The Thing. What are your favorite soundtrack releases? Any rare ones you're hunting for?",78,489,6,1 week ago,6,Documentary & Educational
357,Best Movie Boxset Artwork,BoxsetArt,1 week ago,Showcasing the most beautiful box set designs and artwork...,The artwork on the Second Sight Dawn of the Dead 4K set is stunning! Also love Arrow's Gamera collection and Criterion's Bergman Cinema box. What are some of your favorite box set designs? Which labels consistently deliver great artwork?,67,445,6,1 week ago,6,Documentary & Educational
358,Rare TV Miniseries Collections,MiniseriesFan,1 week ago,Collecting rare and out-of-print TV miniseries releases...,Just found a complete set of the original BBC Edge of Darkness on DVD! Also managed to get the rare Pride and Prejudice (1995) box set. What are some of your favorite TV miniseries releases? Any rare ones you're hunting for?,56,378,6,1 week ago,6,Documentary & Educational
